timestamp,open,high,low,close,volume
2020-01-02,206.95,209.2,206.24,209.08,6544
2020-01-03,209.12,210.35,207.96,208.96,7256
2020-01-06,208.74,212.12,208.71,212.05,7264
2020-01-07,211.98,214.5,211.73,212.93,7631
2020-01-08,213.92,216.2,212.59,215.79,7647
2020-01-09,217.06,218.2,216.24,218.1,7756
2020-01-10,217.65,219.83,217.38,217.81,7724
2020-01-13,219.75,221.82,219.5,221.26,7777
2020-01-14,220.86,222.31,219.0,219.69,8625
2020-01-15,220.82,221.62,220.11,220.57,8399
2020-01-16,221.54,222.48,220.38,221.49,6963
2020-01-17,220.89,222.25,220.57,221.8,7698
2020-01-21,220.53,221.83,219.08,221.1,7781
2020-01-22,221.92,222.59,221.32,221.64,7098
2020-01-23,220.3,221.43,219.35,219.97,7980
2020-01-24,221.29,221.49,216.07,217.1,10507
2020-01-27,214.84,216.0,214.07,214.81,9910
2020-01-28,214.09,218.68,213.49,218.22,9198
2020-01-29,220.83,224.12,218.45,223.92,11156
2020-01-30,208.87,211.34,207.41,209.41,13912
2020-01-31,206.05,207.38,201.05,201.76,13993
2020-02-03,204.16,205.08,202.79,203.61,10117
2020-02-04,206.54,210.55,206.54,209.72,9127
2020-02-05,210.44,211.59,208.69,209.9,9316
2020-02-06,210.5,211.14,209.32,210.35,8607
2020-02-07,210.8,212.75,210.1,212.02,8439
2020-02-10,211.23,213.72,210.95,212.59,7366
2020-02-11,207.58,210.81,206.47,207.86,11787
2020-02-12,208.68,211.17,207.65,210.64,8152
2020-02-13,210.83,214.28,210.73,212.75,8516
2020-02-14,213.79,214.86,212.65,214.28,7835
2020-02-18,215.56,217.86,215.56,217.71,8644
2020-02-19,217.42,218.27,216.68,217.59,6338
2020-02-20,217.62,218.71,212.89,214.95,10889
2020-02-21,211.79,212.46,208.82,209.88,11385
2020-02-24,203.38,203.49,198.16,200.85,14651
2020-02-25,203.05,203.19,195.94,196.39,19268
2020-02-26,199.73,201.16,195.47,197.34,18666
2020-02-27,191.96,195.81,189.51,191.09,21690
2020-02-28,186.42,190.57,185.01,185.99,28129
2020-03-02,190.29,194.01,188.78,193.31,19864
2020-03-03,194.17,197.13,186.66,188.2,25423
2020-03-04,187.64,190.54,186.37,189.86,17106
2020-03-05,188.28,188.8,183.86,184.88,18466
2020-03-06,180.29,182.57,176.24,178.75,21652
2020-03-09,168.82,174.93,168.47,170.77,20191
2020-03-10,174.31,177.65,169.48,177.16,17453
2020-03-11,173.56,174.2,167.63,170.39,17421
2020-03-12,162.2,166.37,157.04,157.93,18932
2020-03-13,161.27,164.04,157.59,163.83,17909
2020-03-16,149.67,159.04,146.49,150.91,16854
2020-03-17,143.08,153.79,139.89,148.3,17891
2020-03-18,139.88,146.58,137.06,143.1,17344
2020-03-19,146.0,159.84,145.02,158.35,18319
2020-03-20,154.51,158.86,148.02,149.72,15972
2020-03-23,148.15,152.25,142.83,145.96,17593
2020-03-24,154.79,160.58,153.15,160.47,14392
2020-03-25,159.7,162.93,153.02,158.15,16725
2020-03-26,158.8,163.26,157.08,161.36,14699
2020-03-27,155.88,159.98,154.76,158.71,15562
2020-03-30,159.45,166.67,157.98,165.88,13768
2020-03-31,166.35,170.84,165.59,168.15,12880
2020-04-01,162.12,164.04,158.0,158.19,11987
2020-04-02,160.76,161.3,155.91,157.32,17738
2020-04-03,157.1,157.84,150.81,151.96,16267
2020-04-06,160.1,164.46,159.33,164.44,13415
2020-04-07,170.58,173.34,165.99,169.66,20361
2020-04-08,171.39,174.32,167.71,173.84,15779
2020-04-09,175.36,177.01,171.57,174.58,16125
2020-04-13,173.67,174.36,169.43,174.26,14320
2020-04-14,176.62,181.17,176.57,178.98,13311
2020-04-15,174.81,178.12,172.81,176.72,14352
2020-04-16,176.1,177.0,172.49,174.89,21110
2020-04-17,178.01,180.22,176.6,178.41,18355
2020-04-20,177.73,180.44,176.71,178.17,18723
2020-04-21,172.14,173.51,168.29,171.55,16361
2020-04-22,180.7,184.69,178.68,183.68,15085
